"SRS Crime Rates by Local Police Department (Ranked by Population)"
"Current date: 5/26/2026 4:00:08 PM (Eastern Daylight Time)"
"Summary Date: 2024"
"Data source: MA_Summary, Summary Combined Return A & Part I Data"
"Measures","Number of Actual Offenses","Estimated Population","Summary Offense Rate (per 1,000)",
"Jurisdiction by Geography"
"Southampton","32","6,203","5.16"
"Dalton","39","6,196","6.29"
"Franklin State Police","39","6,115","6.38"
"Rochester","36","6,112","5.89"
"Granby","34","6,032","5.64"
"Hopedale","41","6,031","6.80"
"Eastham","86","5,880","14.63"
"Dover","41","5,868","6.99"
"Bolton","40","5,778","6.92"
"Lee","121","5,674","21.33"
"Barre","65","5,558","11.69"
"Marion","57","5,492","10.38"
"Oak Bluffs","128","5,441","23.53"
"Boxborough","31","5,391","5.75"
"Manchester-by-the-sea","23","5,357","4.29"
"Edgartown","96","5,351","17.94"
"Hadley","240","5,251","45.71"
"Deerfield","60","5,197","11.55"
"Carlisle","25","5,138","4.87"
"Paxton","35","5,052","6.93"
"Lenox","103","5,050","20.40"
"Warren","45","4,987","9.02"
"Boylston","27","4,977","5.42"
"Tisbury","136","4,958","27.43"
"Wenham","29","4,945","5.86"
"Hampden","24","4,922","4.88"
"Berlin","27","4,753","5.68"
"Avon","101","4,745","21.29"
"West Newbury","26","4,607","5.64"
"Sherborn","12","4,369","2.75"
"West Brookfield","15","3,826","3.92"
"Provincetown","134","3,766","35.58"
"Brimfield","22","3,712","5.93"
"Wellfleet","40","3,698","10.82"
"Essex","35","3,678","9.52"
"Sunderland","30","3,643","8.23"
"West Tisbury","32","3,641","8.79"
"Princeton","17","3,522","4.83"
"Brookfield","22","3,442","6.39"
"Dunstable","19","3,366","5.64"
"Hatfield","10","3,303","3.03"
"Nahant","25","3,281","7.62"
"Cheshire","19","3,197","5.94"
"Ashby","13","3,166","4.11"
"Millville","10","3,149","3.18"
"Plympton","35","3,045","11.49"
"Lanesboro","59","3,004","19.64"
"Northfield","16","2,876","5.56"
"Bernardston","21","2,842","7.39"
"Hardwick","23","2,666","8.63"
"Holland","12","2,576","4.66"
"Truro","26","2,516","10.33"
"Williamsburg","21","2,455","8.55"
"East Brookfield","26","2,204","11.80"
"Stockbridge","26","1,993","13.05"
"Becket","32","1,931","16.57"
"Hinsdale","11","1,893","5.81"
"Shelburne","27","1,887","14.31"
"Oakham","11","1,879","5.85"
"Leverett","8","1,862","4.30"
"Buckland","","1,810",""
"Wales","8","1,807","4.43"
"Shutesbury","6","1,729","3.47"
"Ashfield","5","1,689","2.96"
"Erving","10","1,671","5.98"
"Hampshire State Police","34","1,656","20.53"
"Clarksburg","3","1,638","1.83"
"Whately","6","1,627","3.69"
"Otis","9","1,623","5.55"
"Gill","16","1,564","10.23"
"Granville","8","1,532","5.22"
"New Marlboro","6","1,503","3.99"
"Egremont","9","1,376","6.54"
"Royalston","2","1,270","1.57"
"Pelham","2","1,259","1.59"
"Chilmark","9","1,253","7.18"
"Chester","","1,223",""
"Worthington","1","1,179","0.85"
"Chesterfield","3","1,170","2.56"
"Monterey","","1,082",""
"New Braintree","2","992","2.02"
"Goshen","2","941","2.13"
"Cummington","","814",""
"Tolland","1","468","2.14"
"Aquinnah","1","449","2.23"
"Tyringham","3","419","7.16"
"Cape Cod Community College","","",""
"MBTA - Barnstable County","","",""
"Barnstable State Police","5","",""
"Barnstable State Police Middleboro","","",""
"Alford","","",""
"Florida","","",""
"Hancock","","",""
"Mount Washington","","",""
"New Ashford","","",""
"Peru","","",""
"Richmond","","",""
"Sandisfield","","",""
"Savoy","","",""
"Sheffield","","",""
"Washington","","",""
"West Stockbridge","","",""
"Windsor","","",""
"MA College of Liberal Arts","7","",""
"MBTA - Berkshire County","","",""
"Berkshire State Police Weston","","",""
"Berkshire State Police Northampton","","",""
"U-Mass Dartmouth","78","",""
"Stonehill College","9","",""
"Bristol Comm College","","",""
"Wheaton College","1","",""
"Uncategorized","","",""
"MBTA - Bristol County","","",""
"Bristol State Police","34","",""
"Bristol State Police Framingham","","",""
"Bristol State Police Middleboro","","",""
"Gosnold","","",""
"MBTA - Dukes County","","",""
"Dukes State Police","3","",""
"Dukes State Police Middleboro","","",""
"North Shore CC","","",""
"Salem State University","12","",""
"Merrimack College","26","",""
"North Shore CC","6","",""
"Endicott College","20","",""
"Northern Essex Community College","","",""
"Gordon College","14","",""
"Salem State College","","",""
"North Shore Community College","","",""
"MBTA - Essex County","","",""
"Essex State Police","24","",""
"Essex State Police Framingham","","",""
"Charlemont","","",""
"Colrain","","",""
"Conway","","",""
"Hawley","","",""
"Heath","","",""
"Leyden","","",""
"Monroe","","",""
"New Salem","","",""
"Rowe","2","",""
"Warwick","1","",""
"Wendell","","",""
"Greenfield CC","","",""
"MBTA - Franklin County","","",""
"Franklin State Police Holden","","",""
"Franklin State Police Northampton","","",""
"Blandford","","",""
"Western New England Coll","14","",""
"Montgomery","","",""
"Russell","10","",""
"Westfield State College","29","",""
"Holyoke Community College","4","",""
"Springfield Technical Community College","10","",""
"Western New England University","","",""
"MBTA - Hampden County","","",""
"Springfield College","14","",""
"Hampden State Police","114","",""
"Hampden State Police Weston","","",""
"Hampden State Police Northampton","","",""
"Mt. Holyoke College","","",""
"Huntington","","",""
"Middlefield","","",""
"Plainfield","","",""
"Westhampton","6","",""
"U-Mass Amherst","245","",""
"Mt. Holyoke College","19","",""
"Hampshire College","","",""
"Hampshire College","","",""
"Smith College","7","",""
"Smith College","","",""
"Amherst College","26","",""
"MBTA - Hampshire County","","",""
"Hampshire State Police Northampton","","",""
"Regis College","","",""
"Brandeis University","25","",""
"Brandeis University","","",""
"Bentley College","25","",""
"Framingham State University","15","",""
"U-Mass Lowell","114","",""
"Boston and Maine Railroad Police Dept","","",""
"Harvard University","633","",""
"Tufts University Medford","39","",""
"Tufts University since 01/01/2015","","",""
"Boston College","85","",""
"Lasell College","3","",""
"Regis College","","",""
"Regis College","","",""
"Mount IDA College","","",""
"MBTA - Middlesex County","","",""
"Boston College(Old ORI pre-2011)","","",""
"MIT","323","",""
"Framingham SC","","",""
"Tufts University prior 01/01/2015","","",""
"Middlesex State Police","37","",""
"Middlesex State Police Weston","","",""
"Middlesex State Police Framingham","","",""
"Middlesex State Police Holden","","",""
"MBTA - Nantucket County","","",""
"Nantucket State Police","","",""
"Mt. Ida College","","",""
"Babson College","41","",""
"Dean College","10","",""
"Mass Bay Community College","","",""
"Curry College","25","",""
"MBTA - Norfolk County","","",""
"Wellesley College","16","",""
"Norfolk State Police","25","",""
"Norfolk State Police Framingham","","",""
"Norfolk State Police Middleboro","","",""
"Bridgewater State University","48","",""
"Massasoit Community College","6","",""
"MBTA - Plymouth County","","",""
"Plymouth State Police","45","",""
"Plymouth State Police Middleboro","","",""
"Boston College(Old ORI)","","",""
"Capitol PD, Boston","","",""
"Environmental Police","28","",""
"U-Mass Boston","40","",""
"MBTA","","",""
"Boston University","482","",""
"Northeastern University","440","",""
"Mass College of Art","1","",""
"Tufts University Suffolk","9","",""
"Tufts University Suffolk prior to 01/01/2017","","",""
"Bunker Hill Community College","11","",""
"Beth Israel Deaconess Med Ctr","","",""
"Simmons University","19","",""
"Mass General Hospital","","",""
"Fisher College","6","",""
"Fisher College","","",""
"Wentworth Institute of Technology","56","",""
"Roxbury Community College","22","",""
"Berklee College of Music","145","",""
"MCPHS University","10","",""
"Emerson College","2","",""
"MBTA - Suffolk County","","",""
"Emerson College","","",""
"Northeastern U","","",""
"Wentworth Institute","","",""
"Suffolk State Police","138","",""
"Suffolk State Police Weston","","",""
"Suffolk State Police Framingham","","",""
"Suffolk State Police Logan Airport","","",""
"Hubbardston","38","",""
"North Brookfield","","",""
"Petersham","","",""
"Phillipston","","",""
"U-Mass Worcester","408","",""
"Fitchburg SC","28","",""
"Tufts University Worcester","5","",""
"Tufts University Worcester","","",""
"Worcester Polytechnic In","29","",""
"Col of the Holy Cross","30","",""
"Quinsigamond CC","4","",""
"Clark University","21","",""
"Assumption College","23","",""
"Assumption College","","",""
"Mount Wachusett CC","5","",""
"Becker College","","",""
"MBTA - Worcester County","","",""
"Fitchburg State College","","",""
"U-Mass Worcester MA014UM00","","",""
"Clark University","","",""
"Worcester State","27","",""
"Worcester State Police","58","",""
"Worcester State Police Weston","","",""
"Worcester State Police Holden","","",""
"Worcester State University","","",""
"Suffolk University","","",""
"MSCPA Police","","",""
